model,predictor,term,log_odds,standard_error,odds_ratio,confidence_interval_low,confidence_interval_high,p_value,statistical_significance,estimate_95ci
Unadjusted,Age group,age_group_model15-19,-0.5924,0.1556,0.553,0.408,0.75,1e-4,p<0.001,0.55 (95% CI 0.41-0.75)
Unadjusted,Age group,age_group_model25-29,0.3528,0.08,1.423,1.216,1.665,0,p<0.001,1.42 (95% CI 1.22-1.66)
Unadjusted,Age group,age_group_model30-34,0.511,0.0785,1.667,1.429,1.945,0,p<0.001,1.67 (95% CI 1.43-1.95)
Unadjusted,Age group,age_group_model35-39,0.386,0.0895,1.471,1.234,1.754,0,p<0.001,1.47 (95% CI 1.23-1.75)
Unadjusted,Age group,age_group_model40-44,0.0739,0.1366,1.077,0.824,1.408,0.5888,Not statistically significant,1.08 (95% CI 0.82-1.41)
Unadjusted,Age group,age_group_model45-49,-0.3931,0.2427,0.675,0.419,1.087,0.1056,Not statistically significant,0.68 (95% CI 0.42-1.09)
Unadjusted,Education,education_modelhigher,3.5062,0.1234,33.32,26.157,42.445,0,p<0.001,33.32 (95% CI 26.16-42.45)
Unadjusted,Education,education_modelprimary,1.1858,0.1224,3.273,2.574,4.162,0,p<0.001,3.27 (95% CI 2.57-4.16)
Unadjusted,Education,education_modelsecondary,2.2428,0.1015,9.42,7.719,11.494,0,p<0.001,9.42 (95% CI 7.72-11.49)
Unadjusted,Wealth quintile,wealth_modelmiddle,1.7943,0.1528,6.015,4.457,8.118,0,p<0.001,6.01 (95% CI 4.46-8.12)
Unadjusted,Wealth quintile,wealth_modelpoorer,0.777,0.1572,2.175,1.598,2.961,0,p<0.001,2.17 (95% CI 1.60-2.96)
Unadjusted,Wealth quintile,wealth_modelricher,2.6395,0.1499,14.007,10.438,18.796,0,p<0.001,14.01 (95% CI 10.44-18.80)
Unadjusted,Wealth quintile,wealth_modelrichest,3.6783,0.1536,39.58,29.281,53.503,0,p<0.001,39.58 (95% CI 29.28-53.50)
Unadjusted,Residence,residence_modelurban,1.6034,0.0779,4.97,4.265,5.79,0,p<0.001,4.97 (95% CI 4.26-5.79)
Unadjusted,Geopolitical zone,zone_modelnorth central,1.4301,0.1242,4.179,3.275,5.332,0,p<0.001,4.18 (95% CI 3.27-5.33)
Unadjusted,Geopolitical zone,zone_modelnorth east,0.351,0.1407,1.42,1.078,1.872,0.0127,p<0.05,1.42 (95% CI 1.08-1.87)
Unadjusted,Geopolitical zone,zone_modelsouth east,1.9899,0.1302,7.315,5.666,9.443,0,p<0.001,7.32 (95% CI 5.67-9.44)
Unadjusted,Geopolitical zone,zone_modelsouth south,2.0052,0.1275,7.428,5.784,9.539,0,p<0.001,7.43 (95% CI 5.78-9.54)
Unadjusted,Geopolitical zone,zone_modelsouth west,2.7175,0.1342,15.142,11.638,19.702,0,p<0.001,15.14 (95% CI 11.64-19.70)
Adjusted,Multivariable model,age_group_model15-19,-0.1532,0.1834,0.858,0.599,1.229,0.4036,Not statistically significant,0.86 (95% CI 0.60-1.23)
Adjusted,Multivariable model,age_group_model25-29,0.0521,0.0926,1.054,0.879,1.263,0.5733,Not statistically significant,1.05 (95% CI 0.88-1.26)
Adjusted,Multivariable model,age_group_model30-34,0.137,0.091,1.147,0.959,1.371,0.1326,Not statistically significant,1.15 (95% CI 0.96-1.37)
Adjusted,Multivariable model,age_group_model35-39,-0.0075,0.1122,0.993,0.796,1.237,0.9469,Not statistically significant,0.99 (95% CI 0.80-1.24)
Adjusted,Multivariable model,age_group_model40-44,0.0899,0.1762,1.094,0.774,1.546,0.6099,Not statistically significant,1.09 (95% CI 0.77-1.55)
Adjusted,Multivariable model,age_group_model45-49,0.0085,0.253,1.009,0.614,1.657,0.9732,Not statistically significant,1.01 (95% CI 0.61-1.66)
Adjusted,Multivariable model,education_modelhigher,1.8436,0.1423,6.319,4.78,8.354,0,p<0.001,6.32 (95% CI 4.78-8.35)
